American Airlines , 3 , 138.246.99.249 , 0.278466 , 0.15 , 0.0629 , 0
eEPWyGdi6kEMsptNy73lLIKG0VoqKW9C , 3 , None , 0.206383 , -1 , -1 , 1
Huffington Post , 3 , 138.246.99.249 , 0.190969 , 0.12 , 0.0648 , 0
imFdfm7TtiDMF40sZnoNR0w4JirFPVGm , 3 , None , 0.233792 , -1 , -1 , 1
Krystle Campbell , 3 , None , 0.211213 , 0.12 , -1 , 0
CmMXwzH5wulqyHou2fiSTA1sEQLp71pA , 3 , 138.246.99.249 , 0.17998 , -1 , 0.0565 , 1
Girls Love Beyonce , 3 , None , 0.206291 , 0.13 , -1 , 0
ZB7oz5xJEEUriYzZbM2cEZSjcTcBLTv0 , 3 , None , 0.182565 , -1 , -1 , 1
Tracy McGrady , 3 , 129.206.210.127 , 0.239415 , 0.13 , 7.938 , 0
7WWTVYWZsxK06YXzXIvLpJThkjg8phYy , 3 , None , 0.152227 , -1 , -1 , 1
USA TODAY , 3 , None , 0.557081 , 0.19 , -1 , 0
jsIxwpo4YcScjOVSY82xgfm8UvGqdmM5 , 3 , 81.228.8.201 , 0.205149 , -1 , 36.62 , 1
Washington Post , 3 , 194.84.23.125 , 0.287983 , 0.14 , 65.36 , 0
QdQaVLFCjIamQsUUkLr28E1NLl88OA9v , 3 , None , 0.174228 , -1 , -1 , 1
Carlos Arredondo , 3 , 193.232.88.17 , 0.213101 , 0.14 , 60.4444444444 , 0
kA5xko4LbgQTPNiGFNd8NAQJocO3IDbd , 3 , None , 0.226143 , -1 , -1 , 1
Outside Lands , 3 , 208.69.33.21 , 0.165554 , 0.1 , 9.083 , 0
A27gc4varUpwknYZvrc7J8cXzzVaHHtJ , 3 , None , 0.171988 , -1 , -1 , 1
ricin , 4 , None , 0.176419 , 0.1 , -1 , 0
ppMedoOYmR7OPYPK6tapVHVHA4Fnutiw , 4 , None , 0.337087 , -1 , -1 , 1
American Airlines , 4 , None , 0.324748 , 0.2 , -1 , 0
eEPWyGdi6kEMsptNy73lLIKG0VoqKW9C , 4 , 80.254.17.2 , 0.232724 , -1 , 63.74 , 1
Huffington Post , 4 , 195.27.150.42 , 0.199661 , 0.12 , 30.65 , 0
imFdfm7TtiDMF40sZnoNR0w4JirFPVGm , 4 , 138.246.99.249 , 0.161169 , -1 , 0.0678 , 1
Krystle Campbell , 4 , None , 0.254036 , 0.16 , -1 , 0
CmMXwzH5wulqyHou2fiSTA1sEQLp71pA , 4 , 138.246.99.249 , 0.156617 , -1 , 0.066 , 1
Girls Love Beyonce , 4 , 138.246.99.249 , 0.246549 , 0.16 , 0.069 , 0
ZB7oz5xJEEUriYzZbM2cEZSjcTcBLTv0 , 4 , None , 0.201042 , -1 , -1 , 1
Tracy McGrady , 4 , 138.246.99.249 , 0.437114 , 0.13 , 0.0647 , 0
7WWTVYWZsxK06YXzXIvLpJThkjg8phYy , 4 , None , 0.18232 , -1 , -1 , 1
USA TODAY , 4 , None , 0.208734 , 0.13 , -1 , 0
jsIxwpo4YcScjOVSY82xgfm8UvGqdmM5 , 4 , None , 0.276898 , -1 , -1 , 1
Washington Post , 4 , 173.194.97.18 , 0.200496 , 0.13 , -1 , 0
QdQaVLFCjIamQsUUkLr28E1NLl88OA9v , 4 , None , 0.177418 , -1 , -1 , 1
Carlos Arredondo , 4 , None , 0.20734 , 0.13 , -1 , 0
kA5xko4LbgQTPNiGFNd8NAQJocO3IDbd , 4 , 138.246.99.249 , 0.185989 , -1 , 0.0517 , 1
