Krystle Campbell , 3 , 130.149.49.136 , 0.262751 , 0.2 , 0.079 , 0
FkbZgtgg7k9NNEfggXl5kHgSyh33gi8t , 3 , None , 0.214069 , -1 , -1 , 1
Girls Love Beyonce , 3 , None , 0.233628 , 0.16 , -1 , 0
2H3vcyweorFMyTyO7WvsHl5eFIl3L7R2 , 3 , 130.149.49.136 , 0.137182 , -1 , 0.081 , 1
Tracy McGrady , 3 , None , 0.255589 , 0.18 , -1 , 0
DWg8pRdfxqdlhITRaHdBHJIpIXlWE2iR , 3 , 130.149.49.136 , 0.216597 , -1 , 0.128 , 1
USA TODAY , 3 , None , 0.228093 , 0.17 , -1 , 0
4Ypp8Dhi6Wv6AZee9NwwLdb2rvBpPl8N , 3 , 130.149.49.136 , 0.183234 , -1 , 0.1 , 1
Washington Post , 3 , None , 0.195355 , 0.14 , -1 , 0
07eWTv7YEp5q7hH6RAaosDgRXu8IvicN , 3 , None , 0.145466 , -1 , -1 , 1
Carlos Arredondo , 3 , None , 0.240414 , 0.17 , -1 , 0
xZtnc3buYgkihEWbiQHgWJLoIgYSR1x1 , 3 , 130.149.49.136 , 0.126544 , -1 , 0.096 , 1
Outside Lands , 3 , None , 0.199557 , 0.12 , -1 , 0
IqC4erwBnnkzywZyTy5nyV6J5ewxlajt , 3 , None , 0.147102 , -1 , -1 , 1
ricin , 4 , 130.149.49.136 , 0.189674 , 0.12 , 0.127 , 0
3b9Ybz9yvJi5gQdBD28FXzbN4RRONPbl , 4 , None , 0.10684 , -1 , -1 , 1
American Airlines , 4 , None , 0.215502 , 0.13 , -1 , 0
Lu2JbXvbYpDcKGg1AucrUvw4sT1mqui8 , 4 , 130.149.49.136 , 0.115407 , -1 , 0.08 , 1
Huffington Post , 4 , None , 0.163601 , 0.1 , -1 , 0
RBR5kUSZOFaLQcFurFDYBIrvwt7LsfHP , 4 , None , 0.150433 , -1 , -1 , 1
Krystle Campbell , 4 , None , 0.200694 , 0.14 , -1 , 0
